Company,CEI_Score,Year,cusip,firm_name,fuzzy_match_score
Cracker Barrel improved company going from percent,71.0,2004,,,0
percent Citigroup Goldman Sachs Advertising Marketing,0.0,2004,,,0
Deutsche Bank Lehman Brothers Holdings Aerospace and Defense,0.0,2004,,,0
Wells Fargo Charles Schwab Capital One Airlines,1.0,2004,,,0
Financial UBS American Express and Apparel Dept Stores \,2.0,2004,,,0
Still the industry has its laggards Newcomer Financial Services,10.0,2004,,,0
IBM Apple Computer Dell Xerox Hewlett Engineering and Construction,0.0,2004,,,0
Packard and NCR Corp That industry had Entertainment,0.0,2004,,,0
industries there was only one company Health Care,1.0,2004,,,0
passenger carriers provide some level health Insurance,4.0,2004,,,0
insurance coverage for domestic partners several Law Firms,2.0,2004,,,0
place policies only ATT Corp received per Utilities,3.0,2004,,,0
Agilent Technologies Inc 305 Intel Corp,100.0,2004,00846U101,"Agilent Technologies Inc., Santa Clara, CA",87
Amgen Inc 246 Morgan Chase,100.0,2004,,,0
Anheuser Busch 142 John Hancock Financial 192,79.0,2004,,,0
Apple Computer Inc 301 Johnson Johnson,86.0,2004,,,0
Applebee’ International Inc / KPMG LLP /,86.0,2004,037899101,"Applebee's International Inc., Overland Park, KS",87
ATT Wireless Services 120 Lehman Brothers Holdings 113,100.0,2004,,,0
Bank America Corp Lexmark International Inc 364,86.0,2004,,,0
Bausch Lomb Inc / Lincoln National Corp 339,86.0,2004,,,0
Borders Group Inc A52 McKinsey Inc /,86.0,2004,,,0
Campbell Soup 280 MetLife,100.0,2004,,,0
Charles Schwab A402 Morgan Stanley,86.0,2004,,,0
ChevronTexaco Corp Motorola Inc,100.0,2004,,,0
Chubb Corp 174 Nike Inc 184,100.0,2004,,,0
Cigna Corp 101 Nordstrom Inc 286,86.0,2004,,,0
Cingular Wireless / Northern Trust Corp /,86.0,2004,,,0
Cisco Systems PacifiCorp /,86.0,2004,,,0
Continental Airlines 231 PepsiCo Inc,100.0,2004,,,0
Dell Inc PGE Corp 179,100.0,2004,,,0
Deloitte Touche / Prudential Financial Inc,100.0,2004,,,0
Dow Chemical A4 QUALCOMM Inc A434,71.0,2004,,,0
Eastman Kodak 149 SBC Communications Inc,86.0,2004,,,0
Fannie Mae Johnson Son Inc /,100.0,2004,,,0
FleetBoston Financial Corp 140 Shell Oil /,86.0,2004,,,0
Gap Inc 124 Staples Inc 152,86.0,2004,,,0
