Company,CEI_Score,Year,cusip,firm_name,fuzzy_match_score
Nissan North America Inc,100.0,2016,654744408,"Nissan North America Inc., Franklin, TN",100
Nordstrom Inc,100.0,2016,655664100,"Nordstrom Inc., Seattle, WA",100
Northern Trust Corp,100.0,2016,665859104,"Northern Trust Corp., Chicago, IL",100
Northrop Grumman Corp,100.0,2016,666807102,"Northrop Grumman Corp., Falls Church, VA",100
Novartis Pharmaceuticals Corp,100.0,2016,053561106,"Aventis Pharmaceuticals Inc., Bridgewater, NJ",85
NVIDIA Corp,100.0,2016,67066G104,"NVIDIA Corp., Santa Clara, CA",100
Ofﬁce Depot Inc,100.0,2016,676220106,"Office Depot Inc., Boca Raton, FL",87
Ogilvy Group Inc The,100.0,2016,676601107,"Ogilvy Group Inc., The, New York, NY",100
’Melveny & Myers LLP,100.0,2016,,,0
Oracle Corp,100.0,2016,68389X105,"Oracle Corp., Redwood City, CA",100
Orbitz Worldwide Inc,100.0,2016,68557K109,"Orbitz Worldwide Inc., Chicago, IL",100
Orrick Herrington & Sutcliffe LLP,100.0,2016,,,0
Outerwall Inc,100.0,2016,690070107,"Outerwall Inc., Bellevue, WA",100
Patterson Belknap Webb & Tyler LLP,100.0,2016,,,0
Paul Weiss Rifkind Wharton & Garrison LLP,100.0,2016,,,0
PayPal Holdings Inc,100.0,2016,70450Y103,"PayPal Holdings Inc., San Jose, CA",100
Pearson Inc,100.0,2016,71534C109,"Pearson Inc., Hoboken, NJ",100
PepsiCo Inc,100.0,2016,713448108,"PepsiCo Inc., Purchase, NY",100
Pﬁzer Inc,100.0,2016,,,0
& Corp,100.0,2016,69331C108,"PG&E Corp., San Fran- cisco, CA",100
PNC Financial Services Group Inc The,100.0,2016,693475105,"PNC Financial Services Group Inc., The, Pittsburgh, PA",100
Portland General Electric,100.0,2016,736508847,"Portland General Electric Co., Portland, OR",100
Procter & Gamble,100.0,2016,742718109,"Procter & Gamble Co., Cincinnati, OH",100
Prudential Financial Inc,100.0,2016,744320102,"Prudential Financial Inc., Newark, NJ",100
QUALCOMM Inc,100.0,2016,747525103,"QualComm, San Diego, CA",100
Quarles & Brady LLP,100.0,2016,,,0
Raytheon,100.0,2016,755111507,"Raytheon Co., Waltham, MA",100
Razorﬁsh,100.0,2016,,,0
Sources USA Inc,100.0,2016,844027102,"Re:Sources USA Inc., Long Island City, NY",100
Replacements Ltd,100.0,2016,,,0
Rockland Trust,100.0,2016,,,0
Rockwell Automation Inc,100.0,2016,773903109,"Rockwell Automation Inc., Milwaukee, WI",100
Rockwell Collins Inc,100.0,2016,774341101,"Rockwell Collins Inc., Cedar Rapids, IA",100
Ropes & Gray LLP,100.0,2016,,,0
Royal Caribbean Cruises Ltd,100.0,2016,V7780T103,"Royal Caribbean Cruises Ltd., Miami, FL",100
Johnson & Son Inc,100.0,2016,478160104,"Johnson & Johnson, New Brunswick, NJ",85
Saatchi & Saatchi North America Inc,100.0,2016,785144205,"Saatchi & Saatchi North America Inc., New York, NY",100
SAP America Inc,100.0,2016,055625008,"BP America Inc., Houston, TX",86
