Company,CEI_Score,Year,cusip,firm_name,fuzzy_match_score
Federal National Mortgage Association Fannie Mae,2,2017,313586109,"Federal National Mortgage Association (Fannie Mae), Washington, DC",100
Fenwick & West LLP,2,2017,,,0
Financial Industry Regulatory Authority Inc,2,2017,,,0
Finnegan Henderson Farabow Garrett & Dunner LLP,2,2017,,,0
First Data Corp,2,2017,32008D106,"First Data Corp., Atlanta, GA",100
Foley & Lardner LLP,2,2017,,,0
Ford Motor,2,2017,345370860,"Ford Motor Co., Dearborn, MI",100
Franklin Resources Inc,2,2017,354613101,"Franklin Resources Inc., San Mateo, CA",100
Fried Frank Harris Shriver & Jacobson LLP,2,2017,,,0
GameStop Corp,2,2017,36467W109,"GameStop Corp., Grapevine, TX",100
Gap Inc,2,2017,364760108,"Gap Inc., San Francisco, CA",100
Genentech Inc,2,2017,368710406,"Genentech Inc., South San Francisco, CA",100
General Electric,2,2017,369604103,"General Electric Co., Boston, MA",100
General Mills Inc,2,2017,370334104,"General Mills Inc., Minneapolis, MN",100
General Motors,2,2017,37099Z932,"General Motors Corp., Milford, MI",100
Genworth Financial Inc,2,2017,37247D106,"Genworth Financial Inc., Richmond, VA",100
Gibson Dunn & Crutcher LLP,2,2017,,,0
Goldman Sachs Group Inc The,2,2017,38141G104,"Goldman Sachs Group Inc., The, New York, NY",100
Google Inc,2,2017,38259P500,"Google Inc., Mountain View, CA",100
Gordon & Rees LLP,2,2017,,,0
Goulston & Storrs,2,2017,,,0
Groupon Inc,2,2017,399473107,"Groupon Inc., Chicago, IL",100
Guardian Life Insurance America The,2,2017,40199Y938,"Guardian Life Insurance Co. of America, The, New York, NY",100
Hallmark Cards Inc,2,2017,,,0
Harris Corp,2,2017,413875105,"Harris Corp., Melbourne, FL",100
Hartford Financial Services Group Inc The,2,2017,416515104,"Hartford Financial Services Group Inc., The, Hartford, CT",100
Harvard Pilgrim Health Care Inc,2,2017,,,0
Hasbro Inc,2,2017,418056107,"Hasbro Inc., Pawtucket, RI",100
Health Care Service Corp,2,2017,299783936,"Health Care Service Corp., Chicago, IL",100
Henry Schein Inc,2,2017,806407102,"Henry Schein Inc., Melville, NY",100
Herman Miller Inc,2,2017,600544100,"Herman Miller Inc., Zeeland, MI",100
Hershey The,2,2017,427866108,"Hershey Co., The, Hershey, PA",100
Hewlett Packard Enterprise,2,2017,42824C109,"Hewlett Packard Enterprise Co., Palo Alto, CA",100
Highmark Inc,2,2017,,,0
Hilton Worldwide Inc,2,2017,43300A203,"Hilton Worldwide Inc., McLean, VA",100
Hinshaw & Culbertson LLP,2,2017,,,0
Holland & Knight LLP,2,2017,,,0
Home Depot Inc The,2,2017,437076102,"Home Depot Inc., The, Atlanta, GA",100
Hormel Foods Corp,2,2017,440452100,"Hormel Foods Corp., Austin, MN",100
Inc,2,2017,40434L105,"HP Inc., Palo Alto, CA",100
