Company,CEI_Score,Year,cusip,firm_name,fuzzy_match_score
Horizon Healthcare Services Inc,85.0,2019,,,0
HSBC USA,100.0,2019,40499Y000,"HSBC USA Inc., Prospect Heights, IL",100
Humana Inc,100.0,2019,444859102,"Humana Inc., Louisville, KY",100
Huntington Bancshares Inc,100.0,2019,446150104,"Huntington Bancshares Inc., Columbus, OH",100
Huron Consulting Group Inc,100.0,2019,447462102,"Huron Consulting Group Inc., Chicago, IL",100
Husch Blackwell LLP,100.0,2019,,,0
Hyatt Hotels Corp,100.0,2019,448579102,"Hyatt Hotels Corp., Chicago, IL",100
Hyundai Motor America,100.0,2019,,,0
IAC/InterActiveCorp,100.0,2019,44919P508,"IAC/InterActiveCorp., New York, NY",100
IBM Corp,100.0,2019,449220003,"IBM Corp., Armonk, NY",100
Ice Miller LLP,85.0,2019,,,0
IHS Markit Ltd,90.0,2019,G47567105,"IHS Markit Ltd., Houston, TX",100
IKEA Holding Inc,100.0,2019,,,0
Indeed Inc,100.0,2019,,,0
Intel Corp,100.0,2019,458140100,"Intel Corp., Santa Clara, CA",100
InterContinental Hotels Group Americas,100.0,2019,45857P707,"InterContinental Hotels Group Americas, Atlanta, GA",100
Interpublic Group Companies Inc,100.0,2019,460690100,"Interpublic Group of Companies Inc., New York, NY",100
Intuit Inc,100.0,2019,461202103,"Intuit Inc., Mountain View, CA",100
Iron Mountain Inc,100.0,2019,46284V101,"Iron Mountain Inc., Boston, MA",100
Jacobs Engineering Group Inc,35.0,2019,469814107,"Jacobs Engineering Group Inc., Pasadena, CA",100
Jenner & Block LLP,100.0,2019,,,0
John Hancock Financial Services Inc,100.0,2019,41014S106,"John Hancock Financial Services Inc., Boston, MA",100
Johnson & Johnson,100.0,2019,478160104,"Johnson & Johnson, New Brunswick, NJ",100
JPMorgan Chase &,100.0,2019,46625H100,"JPMorgan Chase & Co., New York, NY",100
& Gates LLP,100.0,2019,,,0
Kaiser Permanente,100.0,2019,,,0
Katten Muchin Rosenman LLP,100.0,2019,,,0
Kelley Drye & Warren LLP,100.0,2019,,,0
Kellogg,100.0,2019,487836108,"Kellogg Co., Battle Creek, MI",100
Kelly Services Inc,100.0,2019,488152208,"Kelly Services Inc., Troy, MI",100
Kilpatrick Townsend & Stockton LLP,100.0,2019,,,0
Kimpton Hotel & Restaurant Group LLC,100.0,2019,,,0
