Company,CEI_Score,Year,cusip,firm_name,fuzzy_match_score
Businesses That Have council that includes LGBT issues,62.0,2011,,,0
Employer Supported percent have employee groups,33.0,2011,,,0
3M “ Paul © © Fam,95.0,2011,,,0
AEGON USA Inc Cedar Rapids,40.0,2011,,,0
Aetna Inc Hartford stem,77.0,2011,,,0
Alston Bird LLP Atlanta Baie,50.0,2011,,,0
American Express New York Hares,74.0,2011,,,0
AmTrust Bank Cleveland >,83.0,2011,,,0
ATT Inc Dallas Hale,8.0,2011,,,0
Baker McKenzie Chicago,2.0,2011,,,0
Baker Botts LLP Houston alee,43.0,2011,,,0
Best Buy Inc Richfield,56.0,2011,,,0
Bingham McCutchen LLP Boston Hii¢,2.0,2011,,,0
Boeing Chicago stele,34.0,2011,,,0
Bryan Cave LLP Louis,58.0,2011,,,0
Wholesale Grocers Inc Keene,40.0,2011,,,0
Cadwalader Wickersham Taft LLP New York,57.0,2011,,,0
Canadian Imperial Bank Commerce New York,95.0,2011,136069101,"Canadian Imperial Bank of Commerce, New York, NY",85
Cardinal Health Inc Dublin Belem,18.0,2011,,,0
CareFusion Corp San Diego,75.0,2011,,,0
Caterpillar Inc Peoria,44.0,2011,,,0
Cerner Corp Kansas City >,73.0,2011,,,0
Chadbourne Parke LLP New York Heo,95.0,2011,,,0
Chamberlin Edmonds Associates Inc Atlanta,53.0,2011,,,0
Chevron Corp San Ramon Baie,8.0,2011,,,0
Coca Cola The Atlanta stele,73.0,2011,,,0
Comeast Corp Philadelphia Cri,68.0,2011,,,0
Corbis Corp Seattle,80.0,2011,,,0
Costco Wholesale Corp Issaquah HRiee,24.0,2011,,,0
Cravath Swaine Moore LLP New York Haiee,52.0,2011,,,0
Crowell Moring LLP Washington Hiishy,91.0,2011,,,0
CVS Caremark Corp Woonsocket,19.0,2011,,,0
Debevoise Plimpton LLP New York Hilde,33.0,2011,,,0
Deere ® Moline Ope Era,87.0,2011,,,0
Dickstein Shapiro LLP Washington Baiee,87.0,2011,,,0
Dorsey Whitney LLP Minneapolis Biiee,73.0,2011,,,0
Dow Chemical The “Midland,38.0,2011,,,0
Drinker Biddle Reath LLP Philadelphia Hiieh,71.0,2011,,,0
Duane Morris LLP Philadelphia Bale,72.0,2011,,,0
Gallo Winery Modesto,95.0,2011,,,0
Pont Nemours and DuPont Wiimington Haiee,75.0,2011,,,0
EarthLink Inc Atlanta,88.0,2011,,,0
Edwards Angell Palmer Dodge LLP Boston Male,85.0,2011,,,0
Emerson Electric Louis,94.0,2011,,,0
Enterprise Rent Car Louis,80.0,2011,,,0
FedEx Corp ~ Memphis © Fim,59.0,2011,,,0
Finnegan Henderson Farabow Garrett Washington m6€ Hide,74.0,2011,,,0
Fish Richardson Boston Heh,70.0,2011,,,0
Foley Lardner LLP Milwaukee “,35.0,2011,,,0
Ford Motor Dearborn alee,7.0,2011,,,0
Fried Frank Harris Shriver Jacobson LLP New York Haid,60.0,2011,,,0
Fulbright Jaworski LLP Houston Baie,36.0,2011,,,0
General Electric Fairfield,5.0,2011,,,0
General Motors Detroit Hide,6.0,2011,,,0
Gibson Dunn Crutcher LLP Los Angeles Male,20.0,2011,,,0
Goldman Sachs Group Inc The New York Haiee,40.0,2011,,,0
Goodwin Procter LLP Boston aide,38.0,2011,,,0
Hallmark Cards Inc “Kansas City jee,100.0,2011,,,0
Harris Interactive Inc New York >,93.0,2011,,,0
Haynes and Boone LLP Dallas Hide,94.0,2011,,,0
Hilton Hotels Corp Beverly Hills,90.0,2011,,,0
Holland Knight LLP Washington Hale,44.0,2011,,,0
Home Depot Inc The Atlanta,25.0,2011,,,0
Howrey LLP Washington Hii¢,49.0,2011,,,0
Humana Inc Louisville,85.0,2011,,,0
Hunton Williams LLP Richmond Hide,39.0,2011,,,0
InterContinental Hotels Group Americas Atlanta,85.0,2011,45857P707,"InterContinental Hotels Group Americas, Atlanta, GA",87
International Business Machines Corp Armonk,14.0,2011,,,0
Jenner Block LLP © Chicago,81.0,2011,,,0
John Hancock Financial Services Inc Boston,73.0,2011,41014S106,"John Hancock Financial Services Inc., Boston, MA",86
Johnson Johnson New Brunswick Baie,29.0,2011,,,0
JPMorgan Chase New York Baie,16.0,2011,,,0
Katten Muchin Rosenman LLP Chicago Hilde,64.0,2011,,,0
Kaye Scholer LLP New York alee,65.0,2011,,,0
Kenneth Cole Productions Inc New York,95.0,2011,,,0
Kirkland Ellis LLP “Chicago file,7.0,2011,,,0
Kraft Foods Inc Northfield,53.0,2011,,,0
Kramer Levin Naftalis Frankel LLP New York Hee,90.0,2011,,,0
Kroger The Cincinnati,22.0,2011,,,0
Latham Watkins LLP New York Baie,8.0,2011,,,0
Lindquist Vennum PLLP Minneapolis,80.0,2011,,,0
Locke Lord Bissell Liddell LLP Chicago eam,69.0,2011,,,0
Lockheed Martin Corp Bethesda Hae,54.0,2011,,,0
Marathon Oil Corp Houston,23.0,2011,,,0
Mars Inc Olive,73.0,2011,,,0
McAfee Inc Santa Clara,53.0,2011,,,0
