employer,cei_score,year,cusip,release_date
"Sodexo Inc., Gaithersburg, MD",100.0,2012,833792104,2012-12-20
"Southern California Edison Company, Rosemead, CA",100.0,2012,842400004,2012-12-20
"Sprint Nextel Corp., Overland Park, KS",100.0,2012,852061100,2012-12-20
"Staples Inc., Framingham, MA",100.0,2012,855030102,2012-12-20
"Starwood Hotels & Resorts Worldwide, Stamford, CT",100.0,2012,85590A401,2012-12-20
"Sun Life Financial Inc. (U.S.), Wellesley Hills, MA",100.0,2012,866796105,2012-12-20
"Supervalu Inc., Eden Prairie, MN",100.0,2012,868536301,2012-12-20
"Symantec Corp., Mountain View, CA",100.0,2012,871503108,2012-12-20
"TD Bank, N.A., Wilmington, DE",100.0,2012,87235A101,2012-12-20
"TJX Companies, Inc., The, Framingham, MA",100.0,2012,872540109,2012-12-20
"Tech Data Corp., Clearwater, FL",100.0,2012,878237106,2012-12-20
"Time Warner Inc., New York, NY",100.0,2012,887317303,2012-12-20
"Toyota Financial Services Corp., Torrance, CA",100.0,2012,892332008,2012-12-20
"Toyota Motor Sales USA Inc., Torrance, CA",100.0,2012,892331307,2012-12-20
"U.S. Bancorp, Minneapolis, MN",100.0,2012,902973304,2012-12-20
"United Continental Holdings Inc., Chicago, IL",100.0,2012,910047109,2012-12-20
"United Parcel Service Inc. (UPS), Atlanta, GA",100.0,2012,911312106,2012-12-20
"United Technologies Corp., Farmington, CT",100.0,2012,913017109,2012-12-20
"UnitedHealth Group Inc., Minnetonka, MN",100.0,2012,91324P102,2012-12-20
"Walt Disney Co., The, Burbank, CA",100.0,2012,254687106,2012-12-20
"Wells Fargo & Co., San Francisco, CA",100.0,2012,949746101,2012-12-20
"Whirlpool Corp., Benton Harbor, MI",100.0,2012,963320106,2012-12-20
"Xerox Corp., Norwalk, CT",100.0,2012,984121608,2012-12-20
"Yahoo! Inc., Sunnyvale, CA",100.0,2012,021346101,2012-12-20
"eBay Inc., San Jose, CA",100.0,2012,278642103,2012-12-20
"Allscripts-Misys Healthcare Solutions Inc., Chicago, IL",30.0,2013,01999Y932,2013-12-11
"American Family Insurance Group, Madison, WI",55.0,2013,02599X936,2013-12-11
"Archer Daniels Midland Co., Chicago, IL",39.0,2013,039483102,2013-12-11
"Automatic Data Processing Inc., Roseland, NJ",100.0,2013,053015103,2013-12-11
"Bank of New York Mellon Corp., The, New York, NY",100.0,2013,064058100,2013-12-11
"Berkshire Hathaway Inc., Omaha, NE",7.0,2013,084670702,2013-12-11
"Bon-Ton Stores, Inc., York, PA",90.0,2013,09776J101,2013-12-11
"Bright Horizons Family Solutions LLC, Watertown, MA",90.0,2013,109194100,2013-12-11
"Burlington Coat Factory Warehouse Corp., Burlington, NJ",60.0,2013,012157910,2013-12-11
"Canadian Imperial Bank of Commerce, New York, NY",70.0,2013,136069101,2013-12-11
"Capital One Financial Corp., McLean, VA",100.0,2013,14040H105,2013-12-11
"Chipotle Mexican Grill Inc., Denver, CO",75.0,2013,169656105,2013-12-11
"Cognizant Technology Solutions Corp., Teaneck, NJ",15.0,2013,192446102,2013-12-11
"Cracker Barrel Old Country Store Inc., Lebanon, TN",35.0,2013,22410J106,2013-12-11
"Dollar Thrifty Automotive Group Inc., Tulsa, OK",70.0,2013,256743105,2013-12-11
"Dr Pepper Snapple Group Inc., Plano, TX",70.0,2013,26138E109,2013-12-11
"Enbridge Energy Partners, Houston, TX",15.0,2013,29250R106,2013-12-11
"Energy Future Holdings Corp., Dallas, TX",15.0,2013,29299Z002,2013-12-11
"Energy Transfer Partners LP, Dallas, TX",0.0,2013,29278N103,2013-12-11
"Enterprise Products Partners LP, Houston, TX",80.0,2013,293792107,2013-12-11
"Expeditors International of Washington, Inc., Seattle, WA",15.0,2013,302130109,2013-12-11
"Federal Home Loan Mortgage Corp. (Freddie Mac), McLean, VA",20.0,2013,313400301,2013-12-11
"Federal National Mortgage Association (Fannie Mae), Washington, DC",80.0,2013,313586109,2013-12-11
"Fidelity National Information Services Inc., Jacksonville, FL",15.0,2013,31699Y932,2013-12-11
"Hartford Financial Services Group Inc., The, Hartford, CT",100.0,2013,416515104,2013-12-11
"International Business Machines Corp. (IBM), Armonk, NY",18.0,2013,459200101,2013-12-11
"Interpublic Group of Companies Inc., New York, NY",100.0,2013,460690100,2013-12-11
"PNC Financial Services Group Inc., The, Pittsburgh, PA",100.0,2013,693475105,2013-12-11
"Prudential Financial Inc., Newark, NJ",64.0,2013,744320102,2013-12-11
"Southern California Edison Company, Rosemead, CA",100.0,2013,842400004,2013-12-11
"Starwood Hotels & Resorts Worldwide, Stamford, CT",100.0,2013,85590A401,2013-12-11
"Toyota Financial Services Corp., Torrance, CA",100.0,2013,892332008,2013-12-11
"Volkswagen Group of America Inc., Herndon, VA",100.0,2013,928662303,2013-12-11
"Allscripts-Misys Healthcare Solutions Inc., Chicago, IL",30.0,2014,01999Y932,2014-11-21
"American Family Insurance Group, Madison, WI",55.0,2014,02599X936,2014-11-21
"Canadian Imperial Bank of Commerce, New York, NY",70.0,2014,136069101,2014-11-21
"Chipotle Mexican Grill Inc., Denver, CO",75.0,2014,169656105,2014-11-21
"Cracker Barrel Old Country Store Inc., Lebanon, TN",45.0,2014,22410J106,2014-11-21
"Dollar Thrifty Automotive Group Inc., Tulsa, OK",70.0,2014,256743105,2014-11-21
"Federal Home Loan Mortgage Corp. (Freddie Mac), McLean, VA",100.0,2014,313400301,2014-11-21
"International Business Machines Corp. (IBM), Armonk, NY",19.0,2014,459200101,2014-11-21
"Allianz Life Insurance Co. of North America, Minneapolis, MN",60.0,2015,018805101,2015-11-18
"Allscripts-Misys Healthcare Solutions Inc., Chicago, IL",30.0,2015,01999Y932,2015-11-18
"Archer Daniels Midland Co., Chicago, IL",27.0,2015,039483102,2015-11-18
"Canadian Imperial Bank of Commerce, New York, NY",70.0,2015,136069101,2015-11-18
"Dollar Thrifty Automotive Group Inc., Tulsa, OK",70.0,2015,256743105,2015-11-18
"Federal Home Loan Mortgage Corp. (Freddie Mac), McLean, VA",31.0,2015,313400301,2015-11-18
"Federal National Mortgage Association (Fannie Mae), Washington, DC",12.0,2015,313586109,2015-11-18
"First Horizon National Corp., Memphis, TN",70.0,2015,320517105,2015-11-18
"Freescale Semiconductor Inc., Austin, TX",80.0,2015,35699Z005,2015-11-18
"Houghton Mifflin Harcourt Publishing Co., Boston, MA",75.0,2015,44157R109,2015-11-18
"InterContinental Hotels Group Americas, Atlanta, GA",90.0,2015,45857P707,2015-11-18
"John Hancock Financial Services Inc., Boston, MA",85.0,2015,41014S106,2015-11-18
"Public Service Enterprise Group, Newark, NJ",5.0,2015,744573106,2015-11-18
"Royal Caribbean Cruises Ltd., Miami, FL",80.0,2015,V7780T103,2015-11-18
"Ultimate Software Group Inc., The, Weston, FL",65.0,2015,90385D107,2015-11-18
"World Fuel Services, Miami, FL",74.0,2015,981475106,2015-11-18
"3M Company, St. Paul, MN",100.0,2016,88579Y101,2016-12-05
"AES Corp., The, Arlington, VA",0.0,2016,00130H105,2016-12-05
"AFLAC Inc., Columbus, GA",75.0,2016,001055102,2016-12-05
"AGL Resources Inc., Atlanta, GA",70.0,2016,002455103,2016-12-05
"AK Steel Holding Corp., West Chester, OH",20.0,2016,001547108,2016-12-05
"AMC Entertainment Inc., Leawood , KS",100.0,2016,01199Y005,2016-12-05
"AT&T Inc., Dallas, TX",100.0,2016,00206R102,2016-12-05
"AbbVie Inc., North Chicago, IL",100.0,2016,00287Y109,2016-12-05
"Abercrombie & Fitch Co., New Albany, OH",100.0,2016,002896207,2016-12-05
"Acer Inc., Irvine, CA",25.0,2016,750070104,2016-12-05
"Adobe Systems Inc., San Jose, CA",100.0,2016,00724F101,2016-12-05
"Advance Auto Parts (Advance Holding), Roanoke, VA",20.0,2016,00751Y106,2016-12-05
"Advanced Micro Devices Inc., Sunnyvale, CA",80.0,2016,007903107,2016-12-05
"Aetna Inc., Hartford, CT",100.0,2016,00817Y108,2016-12-05
"Agilent Technologies Inc., Santa Clara, CA",90.0,2016,00846U101,2016-12-05
"Ahold USA Inc., Quincy, MA",40.0,2016,500467501,2016-12-05
"Air Products & Chemicals Inc., Allentown, PA",95.0,2016,009158106,2016-12-05
"Airgas Inc., Radnor, PA",0.0,2016,009363102,2016-12-05
"Akamai Technologies Inc., Cambridge, MA",75.0,2016,00971T101,2016-12-05
"Alcatel-Lucent, Murray Hill, NJ",100.0,2016,013904305,2016-12-05
"Alcoa Inc., Chicago, IL",100.0,2016,013817507,2016-12-05
"Alleghany Corp., New York, NY",20.0,2016,017175100,2016-12-05
"Allegheny Energy Inc., Greensburg, PA",10.0,2016,017361106,2016-12-05
"Allergan Inc., Irvine, CA",10.0,2016,018490102,2016-12-05
"Alliant Energy Corp., Madison, WI",90.0,2016,018802108,2016-12-05
"Alliant Techsystems Inc., Arlington, VA",35.0,2016,68557N103,2016-12-05
"Allianz Life Insurance Co. of North America, Minneapolis, MN",85.0,2016,018805101,2016-12-05
"Allscripts-Misys Healthcare Solutions Inc., Chicago, IL",30.0,2016,01999Y932,2016-12-05
"Allstate Corp., The, Northbrook, IL",85.0,2016,020002101,2016-12-05
"Ally Financial Inc., Detroit, MI",20.0,2016,02005N100,2016-12-05
"Altria Group Inc., Richmond, VA",85.0,2016,02209S103,2016-12-05
"Amazon.com Inc., Seattle, WA",85.0,2016,023135106,2016-12-05
"Ameren Corp., St. Louis, MO",90.0,2016,023608102,2016-12-05
"American Apparel LLC, Los Angeles, CA",100.0,2016,023850100,2016-12-05
"American Eagle Outfitters Inc., Pittsburgh, PA",100.0,2016,02553E106,2016-12-05
"American Electric Power Co. Inc., Columbus, OH",95.0,2016,025537101,2016-12-05
"American Express Co., New York, NY",100.0,2016,025816109,2016-12-05
"Ameriprise Financial Inc., Minneapolis, MN",100.0,2016,03076C106,2016-12-05
"AmerisourceBergen Corp., Chesterbrook, PA",75.0,2016,03073E105,2016-12-05
"Amgen Inc., Thousand Oaks, CA",90.0,2016,031162100,2016-12-05
"Andersons Inc., The, Maumee, OH",20.0,2016,034164103,2016-12-05
"Anheuser-Busch Companies Inc., St. Louis, MO",100.0,2016,035229103,2016-12-05
"Anixter International Inc., Glenview, IL",20.0,2016,035290105,2016-12-05
"Anthem Inc., Indianapolis, IN",100.0,2016,036752103,2016-12-05
"Aon Corp., Chicago, IL",100.0,2016,G0408V102,2016-12-05
"Apache Corp., Houston, TX",20.0,2016,037411105,2016-12-05
"Apple Inc., Cupertino, CA",100.0,2016,037833100,2016-12-05
"Applied Materials Inc., Santa Clara, CA",80.0,2016,038222105,2016-12-05
"Aramark Corp., Philadelphia, PA",100.0,2016,002034932,2016-12-05
"Archer Daniels Midland Co., Chicago, IL",35.0,2016,039483102,2016-12-05
"Ashland Inc., Covington, KY",65.0,2016,044186104,2016-12-05
"AutoNation Inc., Fort Lauderdale, FL",10.0,2016,05329W102,2016-12-05
"Autodesk Inc., San Rafael, CA",85.0,2016,052769106,2016-12-05
"Autoliv Inc., Auburn Hills, MI",20.0,2016,052800109,2016-12-05
"Automatic Data Processing Inc., Roseland, NJ",100.0,2016,053015103,2016-12-05
"Aventis Pharmaceuticals Inc., Bridgewater, NJ",100.0,2016,053561106,2016-12-05
"Aéropostale Inc., Lyndhurst, NJ",85.0,2016,00215Q103,2016-12-05
"BP America Inc., Houston, TX",100.0,2016,055625008,2016-12-05
"Diageo North America, Norwalk, CT",100.0,2016,25243Q205,2016-12-05
"Johnson & Johnson, New Brunswick, NJ",100.0,2016,478160104,2016-12-05
"NVIDIA Corp., Santa Clara, CA",100.0,2016,67066G104,2016-12-05
"Nissan North America Inc., Franklin, TN",100.0,2016,654744408,2016-12-05
"Nordstrom Inc., Seattle, WA",100.0,2016,655664100,2016-12-05
"Northern Trust Corp., Chicago, IL",100.0,2016,665859104,2016-12-05
"Northrop Grumman Corp., Falls Church, VA",100.0,2016,666807102,2016-12-05
"Office Depot Inc., Boca Raton, FL",100.0,2016,676220106,2016-12-05
"Ogilvy Group Inc., The, New York, NY",100.0,2016,676601107,2016-12-05
"Oracle Corp., Redwood City, CA",100.0,2016,68389X105,2016-12-05
"Orbitz Worldwide Inc., Chicago, IL",100.0,2016,68557K109,2016-12-05
"Outerwall Inc., Bellevue, WA",100.0,2016,690070107,2016-12-05
"PG&E Corp., San Fran- cisco, CA",100.0,2016,69331C108,2016-12-05
"PNC Financial Services Group Inc., The, Pittsburgh, PA",100.0,2016,693475105,2016-12-05
"PayPal Holdings Inc., San Jose, CA",100.0,2016,70450Y103,2016-12-05
"Pearson Inc., Hoboken, NJ",100.0,2016,71534C109,2016-12-05
"PepsiCo Inc., Purchase, NY",100.0,2016,713448108,2016-12-05
"Portland General Electric Co., Portland, OR",100.0,2016,736508847,2016-12-05
"Procter & Gamble Co., Cincinnati, OH",100.0,2016,742718109,2016-12-05
"Prudential Financial Inc., Newark, NJ",100.0,2016,744320102,2016-12-05
"QualComm, San Diego, CA",100.0,2016,747525103,2016-12-05
"Raytheon Co., Waltham, MA",100.0,2016,755111507,2016-12-05
"Re:Sources USA Inc., Long Island City, NY",100.0,2016,844027102,2016-12-05
"Rockwell Automation Inc., Milwaukee, WI",100.0,2016,773903109,2016-12-05
"Rockwell Collins Inc., Cedar Rapids, IA",100.0,2016,774341101,2016-12-05
"Royal Caribbean Cruises Ltd., Miami, FL",100.0,2016,V7780T103,2016-12-05
"Saatchi & Saatchi North America Inc., New York, NY",100.0,2016,785144205,2016-12-05
"Sears Holdings Corp., Hoffman Estates, IL",100.0,2016,812350106,2016-12-05
"Shell Oil Co., Houston, TX",100.0,2016,822635009,2016-12-05
"Sodexo Inc., Gaithersburg, MD",100.0,2016,833792104,2016-12-05
"Southern California Edison Company, Rosemead, CA",100.0,2016,842400004,2016-12-05
"Southwest Airlines Co., Dallas, TX",100.0,2016,844741108,2016-12-05
"Sprint Corp., Overland Park, KS",100.0,2016,85207U105,2016-12-05
"Staples Inc., Framingham, MA",100.0,2016,855030102,2016-12-05
"Starbucks Corp., Seattle, WA",100.0,2016,855244109,2016-12-05
"Starwood Hotels & Resorts Worldwide, Stamford, CT",100.0,2016,85590A401,2016-12-05
"State Street Corp., Boston, MA",100.0,2016,857477103,2016-12-05
"Steelcase Inc., Grand Rapids, MI",100.0,2016,858155203,2016-12-05
"Sun Life Financial Inc. (US), Wellesley Hills, MA",100.0,2016,866796105,2016-12-05
"SunTrust Banks Inc., Atlanta, GA",100.0,2016,867914103,2016-12-05
"Symantec Corp., Mountain View, CA",100.0,2016,871503108,2016-12-05
"T-Mobile USA Inc., Bellevue, WA",100.0,2016,872590104,2016-12-05
"TD Bank, N.A., Wilmington, DE",100.0,2016,87235A101,2016-12-05
"TJX Companies, Inc., The, Framingham, MA",100.0,2016,872540109,2016-12-05
"Target Corp., Minneapolis, MN",100.0,2016,87612E106,2016-12-05
"Tech Data Corp., Clearwater, FL",100.0,2016,878237106,2016-12-05
"Tesla Motors Inc., Palo Alto, CA",100.0,2016,88160R101,2016-12-05
"Thermo Fisher Scientific Inc., Waltham, MA",100.0,2016,883556102,2016-12-05
"Time Warner Cable Inc., New York, NY",100.0,2016,88732J207,2016-12-05
"Time Warner Inc., New York, NY",100.0,2016,887317303,2016-12-05
"Towers Watson & Co., Arlington, VA",100.0,2016,891894107,2016-12-05
"Toyota North America Inc., Plano, TX",100.0,2016,892331307,2016-12-05
"Travelers Companies Inc., The, New York, NY",100.0,2016,89417E109,2016-12-05
"Twitter Inc., San Francisco, CA",100.0,2016,90184L102,2016-12-05
"U.S. Bancorp, Minneapolis, MN",100.0,2016,902973304,2016-12-05
"Vanguard Group Inc., Malvern, PA",100.0,2016,92293Y934,2016-12-05
"Viacom Inc., New York, NY",100.0,2016,92553P201,2016-12-05
"Volkswagen Group of America Inc., Herndon, VA",100.0,2016,928662303,2016-12-05
"W.W. Grainger Inc., Lake Forest, IL",100.0,2016,384802104,2016-12-05
"Walgreen Co., Deerfield, IL",100.0,2016,931427108,2016-12-05
"Walt Disney Co., The, Burbank, CA",100.0,2016,254687106,2016-12-05
"Wells Fargo & Co., San Francisco, CA",100.0,2016,949746101,2016-12-05
"Whirlpool Corp., Benton Harbor, MI",100.0,2016,963320106,2016-12-05
"WhiteWave Foods Co., The, Denver, CO",100.0,2016,966244105,2016-12-05
"Wynn Resorts Ltd., Las Vegas, NV",100.0,2016,983134107,2016-12-05
"Xerox Corp., Norwalk, CT",100.0,2016,984121608,2016-12-05
"Yahoo! Inc., Sunnyvale, CA",100.0,2016,021346101,2016-12-05
"Yelp Inc., San Francisco, CA",100.0,2016,985817105,2016-12-05
"Aventis Pharmaceuticals Inc., Bridgewater, NJ",2.0,2017,053561106,2017-11-09
"BP America Inc., Houston, TX",2.0,2017,055625008,2017-11-09
"Federal National Mortgage Association (Fannie Mae), Washington, DC",2.0,2017,313586109,2017-11-09
"First Data Corp., Atlanta, GA",2.0,2017,32008D106,2017-11-09
"Ford Motor Co., Dearborn, MI",2.0,2017,345370860,2017-11-09
"Franklin Resources Inc., San Mateo, CA",2.0,2017,354613101,2017-11-09
"GameStop Corp., Grapevine, TX",2.0,2017,36467W109,2017-11-09
"Gap Inc., San Francisco, CA",2.0,2017,364760108,2017-11-09
"Genentech Inc., South San Francisco, CA",2.0,2017,368710406,2017-11-09
"General Electric Co., Boston, MA",2.0,2017,369604103,2017-11-09
"General Mills Inc., Minneapolis, MN",2.0,2017,370334104,2017-11-09
"General Motors Corp., Milford, MI",2.0,2017,37099Z932,2017-11-09
"Genworth Financial Inc., Richmond, VA",2.0,2017,37247D106,2017-11-09
"Goldman Sachs Group Inc., The, New York, NY",2.0,2017,38141G104,2017-11-09
"Google Inc., Mountain View, CA",2.0,2017,38259P500,2017-11-09
"Groupon Inc., Chicago, IL",2.0,2017,399473107,2017-11-09
"Guardian Life Insurance Co. of America, The, New York, NY",2.0,2017,40199Y938,2017-11-09
"HP Inc., Palo Alto, CA",2.0,2017,40434L105,2017-11-09
"Harris Corp., Melbourne, FL",2.0,2017,413875105,2017-11-09
"Hartford Financial Services Group Inc., The, Hartford, CT",2.0,2017,416515104,2017-11-09
"Hasbro Inc., Pawtucket, RI",2.0,2017,418056107,2017-11-09
"Health Care Service Corp., Chicago, IL",2.0,2017,299783936,2017-11-09
"Henry Schein Inc., Melville, NY",2.0,2017,806407102,2017-11-09
"Herman Miller Inc., Zeeland, MI",2.0,2017,600544100,2017-11-09
"Hershey Co., The, Hershey, PA",2.0,2017,427866108,2017-11-09
"Hewlett Packard Enterprise Co., Palo Alto, CA",2.0,2017,42824C109,2017-11-09
"Hilton Worldwide Inc., McLean, VA",2.0,2017,43300A203,2017-11-09
"Home Depot Inc., The, Atlanta, GA",2.0,2017,437076102,2017-11-09
"Hormel Foods Corp., Austin, MN",2.0,2017,440452100,2017-11-09
"Humana Inc., Louisville, KY",2.0,2017,444859102,2017-11-09
"Huntington Bancshares Inc., Columbus, OH",2.0,2017,446150104,2017-11-09
"Huron Consulting Group Inc., Chicago, IL",2.0,2017,447462102,2017-11-09
"Hyatt Hotels Corp., Chicago, IL",2.0,2017,448579102,2017-11-09
"IBM Corp., Armonk, NY",2.0,2017,449220003,2017-11-09
"Intel Corp., Santa Clara, CA",2.0,2017,458140100,2017-11-09
"Interpublic Group of Companies Inc., New York, NY",2.0,2017,460690100,2017-11-09
"Intuit Inc., Mountain View, CA",2.0,2017,461202103,2017-11-09
"J.C. Penney Corp. Inc., Plano, TX",2.0,2017,708152004,2017-11-09
"JPMorgan Chase & Co., New York, NY",2.0,2017,46625H100,2017-11-09
"JetBlue Airways Corp., Long Island City, NY",2.0,2017,477143101,2017-11-09
"John Hancock Financial Services Inc., Boston, MA",2.0,2017,41014S106,2017-11-09
"Johnson & Johnson, New Brunswick, NJ",2.0,2017,478160104,2017-11-09
"KKR & Co. LP, New York, NY",2.0,2017,48248M102,2017-11-09
"Kellogg Co., Battle Creek, MI",2.0,2017,487836108,2017-11-09
"Kimberly-Clark Corporation, Irving, TX",2.0,2017,494368103,2017-11-09
"LPL Financial Holdings Inc., Boston, MA",2.0,2017,50212V100,2017-11-09
"Land O'Lakes Inc., Arden Hills, MN",2.0,2017,514666932,2017-11-09
"Lear Corp., Southfield, MI",2.0,2017,521865204,2017-11-09
"Lend Lease Americas Inc., New York, NY",2.0,2017,027118108,2017-11-09
"Level 3 Communications Inc., Broomfield, CO",2.0,2017,52729N308,2017-11-09
"Levi Strauss & Co., San Francisco, CA",2.0,2017,52736R938,2017-11-09
"Lexmark International Inc., Lexington, KY",2.0,2017,529771107,2017-11-09
"Lincoln National Corp., Radnor, PA",2.0,2017,534187109,2017-11-09
"Lockheed Martin Corp., Bethesda, MD",2.0,2017,539830109,2017-11-09
"Macy's Inc., Cincinnati, OH",2.0,2017,55616P104,2017-11-09
"Marriott International Inc., Bethesda, MD",2.0,2017,571903202,2017-11-09
"Marsh & McLennan Companies Inc., New York, NY",2.0,2017,571748102,2017-11-09
"Massachusetts Mutual Life Insurance Company, Springfield, MA",2.0,2017,575767934,2017-11-09
"MasterCard Inc., Purchase, NY",2.0,2017,57636Q104,2017-11-09
"Mattel Inc., El Segundo, CA",2.0,2017,577081102,2017-11-09
"McDonald's Corp., Oak Brook, IL",2.0,2017,580135101,2017-11-09
"McKesson Corp., San Francisco, CA",2.0,2017,58155Q103,2017-11-09
"Merck & Co. Inc., Kenilworth, NJ",2.0,2017,58933Y105,2017-11-09
"MetLife Inc., New York, NY",2.0,2017,59156R108,2017-11-09
"Microsoft Corp., Redmond, WA",2.0,2017,594918104,2017-11-09
"Mondelez International Inc., East Hanover, nj",2.0,2017,609207105,2017-11-09
"Monsanto Co., St. Louis, MO",2.0,2017,61166W101,2017-11-09
"Moody's Corp., New York, NY",2.0,2017,615369105,2017-11-09
"NCR Corp., Duluth, GA",2.0,2017,62886E108,2017-11-09
"NVIDIA Corp., Santa Clara, CA",2.0,2017,67066G104,2017-11-09
"Navigant Consulting Inc., Chicago , IL",2.0,2017,63935N107,2017-11-09
"Netflix Inc., Los Gatos, CA",2.0,2017,64110L106,2017-11-09
"New York Life Insurance Co., New York, NY",2.0,2017,64952G934,2017-11-09
"Nike Inc., Beaverton, OR",2.0,2017,654106103,2017-11-09
"Nissan North America Inc., Franklin, TN",2.0,2017,654744408,2017-11-09
"Nordstrom Inc., Seattle, WA",2.0,2017,655664100,2017-11-09
"Northern Trust Corp., Chicago, IL",2.0,2017,665859104,2017-11-09
"Northrop Grumman Corp., Falls Church, VA",2.0,2017,666807102,2017-11-09
"Office Depot Inc., Boca Raton, FL",2.0,2017,676220106,2017-11-09
"Ogilvy Group Inc., The, New York, NY",2.0,2017,676601107,2017-11-09
"OppenheimerFunds Inc., New York, NY",2.0,2017,683800106,2017-11-09
"Oracle Corp., Redwood City, CA",2.0,2017,68389X105,2017-11-09
"Outerwall Inc., Bellevue, WA",2.0,2017,690070107,2017-11-09
"PG&E Corp., San Fran- cisco, CA",2.0,2017,69331C108,2017-11-09
"PNC Financial Services Group Inc., The, Pittsburgh, PA",2.0,2017,693475105,2017-11-09
"PPL Corp., Allentown, PA",2.0,2017,69351T106,2017-11-09
"Pandora Media Inc., Oakland, CA",2.0,2017,698354107,2017-11-09
"PayPal Holdings Inc., San Jose, CA",2.0,2017,70450Y103,2017-11-09
"Pearson Inc., Hoboken, NJ",2.0,2017,71534C109,2017-11-09
"PepsiCo Inc., Purchase, NY",2.0,2017,713448108,2017-11-09
"PetSmart Inc., Phoenix, AZ",2.0,2017,716768106,2017-11-09
"Pfizer Inc., New York, NY",2.0,2017,717081103,2017-11-09
"Portland General Electric Co., Portland, OR",2.0,2017,736508847,2017-11-09
"Praxair Inc., Danbury, CT",2.0,2017,74005P104,2017-11-09
"Procter & Gamble Co., Cincinnati, OH",2.0,2017,742718109,2017-11-09
"Prudential Financial Inc., Newark, NJ",2.0,2017,744320102,2017-11-09
"QualComm, San Diego, CA",2.0,2017,747525103,2017-11-09
"Quest Diagnostics Inc., Madison, NJ",2.0,2017,74834L100,2017-11-09
"Raytheon Co., Waltham, MA",2.0,2017,755111507,2017-11-09
"Re:Sources USA Inc., Long Island City, NY",2.0,2017,844027102,2017-11-09
"Rockwell Automation Inc., Milwaukee, WI",2.0,2017,773903109,2017-11-09
"Rockwell Collins Inc., Cedar Rapids, IA",2.0,2017,774341101,2017-11-09
"Royal Caribbean Cruises Ltd., Miami, FL",2.0,2017,V7780T103,2017-11-09
"S&P Global Inc., New York, NY",2.0,2017,78409V104,2017-11-09
"Saatchi & Saatchi North America Inc., New York, NY",2.0,2017,785144205,2017-11-09
"Sapient Corp., Boston, MA",2.0,2017,803062108,2017-11-09
"Sears Holdings Corp., Hoffman Estates, IL",2.0,2017,812350106,2017-11-09
"Shell Oil Co., Houston, TX",2.0,2017,822635009,2017-11-09
"Sodexo Inc., Gaithersburg, MD",2.0,2017,833792104,2017-11-09
"Southern California Edison Company, Rosemead, CA",2.0,2017,842400004,2017-11-09
"Southern Co., Atlanta, GA",2.0,2017,842812109,2017-11-09
"Southwest Airlines Co., Dallas, TX",2.0,2017,844741108,2017-11-09
"Sprint Corp., Overland Park, KS",2.0,2017,85207U105,2017-11-09
"Staples Inc., Framingham, MA",2.0,2017,855030102,2017-11-09
"Starbucks Corp., Seattle, WA",2.0,2017,855244109,2017-11-09
"Starwood Hotels & Resorts Worldwide, Stamford, CT",2.0,2017,85590A401,2017-11-09
"State Street Corp., Boston, MA",2.0,2017,857477103,2017-11-09
"Steelcase Inc., Grand Rapids, MI",2.0,2017,858155203,2017-11-09
"Stryker Corp., Kalamazoo, MI",2.0,2017,863667101,2017-11-09
"Sun Life Financial Inc. (US), Wellesley Hills, MA",2.0,2017,866796105,2017-11-09
"SunTrust Banks Inc., Atlanta, GA",2.0,2017,867914103,2017-11-09
"Symantec Corp., Mountain View, CA",2.0,2017,871503108,2017-11-09
"T. Rowe Price Associates Inc., Baltimore, MD",2.0,2017,74144T108,2017-11-09
"Target Corp., Minneapolis, MN",2.0,2017,87612E106,2017-11-09
"Teva Pharmaceutical USA Inc., North Wales, PA",2.0,2017,881624209,2017-11-09
"Cracker Barrel Old Country Store Inc., Lebanon, TN",55.0,2018,22410J106,2019-03-28
"3M Company, St. Paul, MN",100.0,2019,88579Y101,2020-01-21
"A-Mark Precious Metals, Santa Monica, CA",0.0,2019,00181T107,2020-01-21
"AECOM, Los Angeles, CA",100.0,2019,00766T100,2020-01-21
"AES Corp., The, Arlington, VA",0.0,2019,00130H105,2020-01-21
"AFLAC Inc., Columbus, GA",80.0,2019,001055102,2020-01-21
"AK Steel Holding Corp., West Chester, OH",20.0,2019,001547108,2020-01-21
"AMC Entertainment Inc., Leawood , KS",100.0,2019,01199Y005,2020-01-21
"AMN Healthcare Services, Inc., San Diego, CA",90.0,2019,001744101,2020-01-21
"AT&T Inc., Dallas, TX",100.0,2019,00206R102,2020-01-21
"AbbVie Inc., North Chicago, IL",100.0,2019,00287Y109,2020-01-21
"Abbott Laboratories, Abbott Park, IL",90.0,2019,002824100,2020-01-21
"Abercrombie & Fitch Co., New Albany, OH",100.0,2019,002896207,2020-01-21
"Adecco North America LLC, Jacksonville, FL",70.0,2019,006754105,2020-01-21
"Adobe Systems Inc., San Jose, CA",100.0,2019,00724F101,2020-01-21
"Advance Auto Parts (Advance Holding), Roanoke, VA",90.0,2019,00751Y106,2020-01-21
"Advanced Micro Devices Inc., Sunnyvale, CA",100.0,2019,007903107,2020-01-21
"Aetna Inc., Hartford, CT",100.0,2019,00817Y108,2020-01-21
"Agco, Duluth, GA",10.0,2019,001084102,2020-01-21
"Agilent Technologies Inc., Santa Clara, CA",85.0,2019,00846U101,2020-01-21
"Air Products & Chemicals Inc., Allentown, PA",100.0,2019,009158106,2020-01-21
